rank,song,artist,year,song_id,word,sentiment_afinn,sentiment_bing,sentiment_nrc
21,justify my love,madonna,1991,2439,afraid,-2,negative,fear
21,justify my love,madonna,1991,2439,afraid,-2,negative,negative
34,coming out of the dark,gloria estefan,1991,2452,afraid,-2,negative,fear
34,coming out of the dark,gloria estefan,1991,2452,afraid,-2,negative,negative
56,after the rain,nelson,1991,2473,afraid,-2,negative,fear
56,after the rain,nelson,1991,2473,afraid,-2,negative,negative
64,around the way girl,ll cool j,1991,2478,afraid,-2,negative,fear
64,around the way girl,ll cool j,1991,2478,afraid,-2,negative,negative
65,ill be there,the escape club,1991,2479,afraid,-2,negative,fear
65,ill be there,the escape club,1991,2479,afraid,-2,negative,negative
65,ill be there,the escape club,1991,2479,afraid,-2,negative,fear
65,ill be there,the escape club,1991,2479,afraid,-2,negative,negative
65,ill be there,the escape club,1991,2479,afraid,-2,negative,fear
65,ill be there,the escape club,1991,2479,afraid,-2,negative,negative
68,show me the way,styx,1991,2482,afraid,-2,negative,fear
68,show me the way,styx,1991,2482,afraid,-2,negative,negative
68,show me the way,styx,1991,2482,afraid,-2,negative,fear
68,show me the way,styx,1991,2482,afraid,-2,negative,negative
42,make it happen,mariah carey,1992,2554,afraid,-2,negative,fear
42,make it happen,mariah carey,1992,2554,afraid,-2,negative,negative
81,take this heart,richard marx,1992,2589,afraid,-2,negative,fear
81,take this heart,richard marx,1992,2589,afraid,-2,negative,negative
92,keep coming back,richard marx,1992,2600,afraid,-2,negative,fear
92,keep coming back,richard marx,1992,2600,afraid,-2,negative,negative
40,baby im yours,shai,1993,2647,afraid,-2,negative,fear
40,baby im yours,shai,1993,2647,afraid,-2,negative,negative
45,hip hop hooray,naughty by nature,1993,2652,afraid,-2,negative,fear
45,hip hop hooray,naughty by nature,1993,2652,afraid,-2,negative,negative
72,angel,jon secada,1993,2679,afraid,-2,negative,fear
72,angel,jon secada,1993,2679,afraid,-2,negative,negative
5,hero,mariah carey,1994,2709,afraid,-2,negative,fear
5,hero,mariah carey,1994,2709,afraid,-2,negative,negative
13,ill remember,madonna,1994,2717,afraid,-2,negative,fear
13,ill remember,madonna,1994,2717,afraid,-2,negative,negative
13,ill remember,madonna,1994,2717,afraid,-2,negative,fear
13,ill remember,madonna,1994,2717,afraid,-2,negative,negative
13,ill remember,madonna,1994,2717,afraid,-2,negative,fear
13,ill remember,madonna,1994,2717,afraid,-2,negative,negative
13,ill remember,madonna,1994,2717,afraid,-2,negative,fear
13,ill remember,madonna,1994,2717,afraid,-2,negative,negative
33,return to innocence,enigma,1994,2733,afraid,-2,negative,fear
33,return to innocence,enigma,1994,2733,afraid,-2,negative,negative
71,rock and roll dreams come through,meat loaf,1994,2770,afraid,-2,negative,fear
71,rock and roll dreams come through,meat loaf,1994,2770,afraid,-2,negative,negative
13,ironic,alanis morissette,1996,2904,afraid,-2,negative,fear
13,ironic,alanis morissette,1996,2904,afraid,-2,negative,negative
25,who will save your soul,jewel,1996,2914,afraid,-2,negative,fear
25,who will save your soul,jewel,1996,2914,afraid,-2,negative,negative
48,count on me,whitney houston featuring cece winans,1996,2934,afraid,-2,negative,fear
48,count on me,whitney houston featuring cece winans,1996,2934,afraid,-2,negative,negative
48,count on me,whitney houston featuring cece winans,1996,2934,afraid,-2,negative,fear
48,count on me,whitney houston featuring cece winans,1996,2934,afraid,-2,negative,negative
48,count on me,whitney houston featuring cece winans,1996,2934,afraid,-2,negative,fear
48,count on me,whitney houston featuring cece winans,1996,2934,afraid,-2,negative,negative
48,count on me,whitney houston featuring cece winans,1996,2934,afraid,-2,negative,fear
48,count on me,whitney houston featuring cece winans,1996,2934,afraid,-2,negative,negative
61,doin it,ll cool j,1996,2947,afraid,-2,negative,fear
61,doin it,ll cool j,1996,2947,afraid,-2,negative,negative
73,nobody,keith sweat featuring athena cage,1996,2957,afraid,-2,negative,fear
73,nobody,keith sweat featuring athena cage,1996,2957,afraid,-2,negative,negative
77,keep on keepin on,mc lyte featuring xscape,1996,2960,afraid,-2,negative,fear
